STATUS | wrapper  | 2019/05/22 12:35:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/05/22 12:35:55 | Launching a JVM...
INFO   | jvm 1    | 2019/05/22 12:35:55 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/05/22 12:35:55 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/05/22 12:35:55 | 
INFO   | jvm 1    | 2019/05/22 12:35:56 | Java Runtime: Oracle Corporation 11.0.3 /usr/lib/jvm/java-11-openjdk-amd64
INFO   | jvm 1    | 2019/05/22 12:35:56 |   Heap sizes: current=256000k  free=246784k  max=1048576k
INFO   | jvm 1    | 2019/05/22 12:35:56 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/linux-x86-64/ -Dwrapper.key=CdJ5aTHz4wIaKH7o -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=26408 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2019/05/22 12:35:56 | Extensions classpath:
INFO   | jvm 1    | 2019/05/22 12:35:56 |   [../../lib,../../lib/camel,../../lib/optional,../../lib/web,../../lib/extra]
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_HOME: ../..
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_BASE: ../..
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_CONF: ../../conf
INFO   | jvm 1    | 2019/05/22 12:35:56 | ACTIVEMQ_DATA: ../../data
INFO   | jvm 1    | 2019/05/22 12:35:56 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Connector ws started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:nb-asmirnov-43601-1558521357488-0:1) started
INFO   | jvm 1    | 2019/05/22 12:35:57 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2019/05/22 12:35:57 |  WARN | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /home/asmirnov/git/java-backend/Message Service/activemq/bin/linux-x86-64/../../data/kahadb only has 96777 mb of usable space. - resetting to maximum available disk space: 96777 mb
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2019/05/22 12:35:58 |  INFO | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml
STATUS | wrapper  | 2019/05/22 15:08:57 | INT trapped.  Shutting down.
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:nb-asmirnov-43601-1558521357488-0:1) is shutting down
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Connector openwire stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Connector amqp stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Connector stomp stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Connector mqtt stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Connector ws stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | PListStore:[/home/asmirnov/git/java-backend/Message Service/activemq/bin/linux-x86-64/../../data/localhost/tmp_storage] stopped
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Stopping async queue tasks
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Stopping async topic tasks
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Stopped KahaDB
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:nb-asmirnov-43601-1558521357488-0:1) uptime 2 hours 33 minutes
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:nb-asmirnov-43601-1558521357488-0:1) is shutdown
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@29a30f6: startup date [Wed May 22 12:35:56 CEST 2019]; root of context hierarchy
INFO   | jvm 1    | 2019/05/22 15:08:58 |  INFO | Destroying Spring FrameworkServlet 'dispatcher'
STATUS | wrapper  | 2019/05/22 15:08:58 | <-- Wrapper Stopped
